time,activity,acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
2463259891,2,-0.2000271,9.494397,14.776321,0.6913078,-0.7285208,-0.7285208
2463259906,2,1.8181982,8.201584,18.693068,0.6913078,-0.7285208,-0.7285208
2463259901,2,1.8181982,8.201584,18.693068,0.97719246,-0.60634786,-0.60634786
2463259915,2,3.5036438,6.8584943,21.123077,0.97719246,-0.60634786,-0.60634786
2463259910,2,3.5036438,6.8584943,21.123077,1.4842101,-0.59168714,-0.59168714
2463259920,2,3.5036438,6.8584943,21.123077,2.1402788,-0.66743433,-0.66743433
2463259925,2,4.5187416,5.3813353,22.447014,2.1402788,-0.66743433,-0.66743433
2463259930,2,4.5187416,5.3813353,22.447014,2.8720949,-0.77983344,-0.77983344
2463259934,2,4.7174516,3.9305117,22.50447,2.8720949,-0.77983344,-0.77983344
2463259944,2,4.638447,2.7789502,21.771877,2.8720949,-0.77983344,-0.77983344
2463259939,2,4.638447,2.7789502,21.771877,3.5733674,-0.85313725,-0.85313725
2463259954,2,4.7509694,2.118179,20.096006,3.5733674,-0.85313725,-0.85313725
2463259949,2,4.7509694,2.118179,20.096006,4.150635,-0.85313725,-0.85313725
2463259959,2,4.7509694,2.118179,20.096006,4.5629683,-0.8152636,-0.8152636
2463259963,2,4.1931443,3.1548238,16.772999,4.5629683,-0.8152636,-0.8152636
2463259973,2,4.090198,6.099565,12.63839,4.5629683,-0.8152636,-0.8152636
2463259968,2,4.090198,6.099565,12.63839,4.7114086,-0.71813613,-0.71813613
2463259983,2,5.256124,8.551122,11.845944,4.7114086,-0.71813613,-0.71813613
2463259978,2,5.256124,8.551122,11.845944,4.47928,-0.6039044,-0.6039044
2463259987,2,5.256124,8.551122,11.845944,3.9160626,-0.5342658,-0.5342658
2463259992,2,7.614311,8.098638,15.939854,3.9160626,-0.5342658,-0.5342658
2463259997,2,7.614311,8.098638,15.939854,3.2728221,-0.45790777,-0.45790777
2463260002,2,10.985202,5.129955,20.457518,3.2728221,-0.45790777,-0.45790777
2463260007,2,10.985202,5.129955,20.457518,2.6607356,-0.38399315,-0.38399315
2463260011,2,14.020919,2.896261,25.334297,2.6607356,-0.38399315,-0.38399315
2463260021,2,16.699915,1.4286785,28.47296,2.6607356,-0.38399315,-0.38399315
2463260016,2,16.699915,1.4286785,28.47296,2.225189,-0.36383462,-0.36383462
2463260026,2,16.699915,1.4286785,28.47296,2.1048486,-0.4542426,-0.4542426
2463260031,2,18.193832,0.037707154,28.106663,2.1048486,-0.4542426,-0.4542426
2463260036,2,18.193832,0.037707154,28.106663,2.216637,-0.68270594,-0.68270594
2463260040,2,17.169159,-0.66376376,24.884205,2.216637,-0.68270594,-0.68270594
2463260045,2,17.169159,-0.66376376,24.884205,2.3730183,-0.93193877,-0.93193877
2463260050,2,14.21963,-1.6980144,21.087166,2.3730183,-0.93193877,-0.93193877
2463260060,2,10.7122755,-3.242208,17.718666,2.3730183,-0.93193877,-0.93193877
2463260055,2,10.7122755,-3.242208,17.718666,2.4609828,-1.048614,-1.048614
2463260064,2,10.7122755,-3.242208,17.718666,2.4707568,-0.9728667,-0.9728667
2463260069,2,7.645435,-4.625997,14.041332,2.4707568,-0.9728667,-0.9728667
2463260074,2,7.645435,-4.625997,14.041332,2.4341047,-0.71569264,-0.71569264
2463260079,2,5.734944,-5.787135,9.818142,2.4341047,-0.71569264,-0.71569264
2463260084,2,5.734944,-5.787135,9.818142,2.3669097,-0.36627808,-0.36627808
2463260088,2,4.863492,-6.2779255,5.9205494,2.3669097,-0.36627808,-0.36627808
2463260093,2,4.863492,-6.2779255,5.9205494,2.266728,-0.033356797,-0.033356797
2463260098,2,4.19075,-6.4718475,2.6454222,2.266728,-0.033356797,-0.033356797
2463260103,2,4.19075,-6.4718475,2.6454222,2.1421115,0.26596692,0.26596692
2463260108,2,3.3983033,-6.4335423,0.023884073,2.1421115,0.26596692,0.26596692
2463260113,2,3.3983033,-6.4335423,0.023884073,1.968015,0.5597929,0.5597929
2463260117,2,2.833296,-6.117521,-1.8411188,1.968015,0.5597929,0.5597929
2463260127,2,2.809355,-6.0073924,-2.7101767,1.968015,0.5597929,0.5597929
2463260122,2,2.809355,-6.0073924,-2.7101767,1.7487146,0.857284,0.857284
2463260137,2,3.616166,-5.933175,-3.1147792,1.7487146,0.857284,0.857284
2463260132,2,3.616166,-5.933175,-3.1147792,1.5507944,1.1358383,1.1358383
2463260141,2,3.616166,-5.933175,-3.1147792,1.4188476,1.3282607,1.3282607
2463260146,2,4.6576,-5.672219,-3.495441,1.4188476,1.3282607,1.3282607
2463260151,2,4.6576,-5.672219,-3.495441,1.362648,1.4180578,1.4180578
2463260156,2,5.342312,-5.8422,-3.6223283,1.362648,1.4180578,1.4180578
2463260161,2,5.342312,-5.8422,-3.6223283,1.3779197,1.4376054,1.4376054
2463260165,2,5.809161,-6.112733,-3.9670784,1.3779197,1.4376054,1.4376054
2463260170,2,5.809161,-6.112733,-3.9670784,1.4096847,1.4296641,1.4296641
2463260175,2,6.3071337,-6.400025,-4.5751796,1.4096847,1.4296641,1.4296641
2463260180,2,6.3071337,-6.400025,-4.5751796,1.3993,1.4015644,1.4015644
2463260185,2,6.7141304,-6.5029707,-5.3676267,1.3993,1.4015644,1.4015644
2463260194,2,6.7596183,-6.112733,-6.1672554,1.3993,1.4015644,1.4015644
2463260189,2,6.7596183,-6.112733,-6.1672554,1.2826247,1.3514735,1.3514735
2463260199,2,6.7596183,-6.112733,-6.1672554,1.0071248,1.2867218,1.2867218
2463260204,2,6.785953,-5.3585916,-6.6317105,1.0071248,1.2867218,1.2867218
2463260214,2,7.2001324,-4.9396243,-6.2965364,1.0071248,1.2867218,1.2867218
2463260209,2,7.2001324,-4.9396243,-6.2965364,0.5770761,1.2146398,1.2146398
2463260218,2,7.2001324,-4.9396243,-6.2965364,0.05600842,1.1077385,1.1077385
2463260223,2,7.882451,-4.465593,-5.9565744,0.05600842,1.1077385,1.1077385
2463260228,2,7.882451,-4.465593,-5.9565744,-0.49560243,0.9092075,0.9092075
2463260233,2,8.598287,-3.6444168,-5.676465,-0.49560243,0.9092075,0.9092075
2463260238,2,8.598287,-3.6444168,-5.676465,-0.9861267,0.61538154,0.61538154
2463260242,2,9.888705,-2.6748066,-4.687702,-0.9861267,0.61538154,0.61538154
2463260247,2,9.888705,-2.6748066,-4.687702,-1.3086634,0.19266315,0.19266315
