time,activity,acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
2463118577,1,3.2139578,1.9769273,10.450184,-0.48766118,-0.36322376,-0.36322376
2463118582,1,3.2785985,2.1923962,10.210774,-0.48766118,-0.36322376,-0.36322376
2463118587,1,3.2785985,2.1923962,10.210774,-0.57868,-0.3778845,-0.3778845
2463118592,1,3.2785985,2.3073127,10.268233,-0.57868,-0.3778845,-0.3778845
2463118597,1,3.2785985,2.3073127,10.268233,-0.61044496,-0.41331467,-0.41331467
2463118601,1,3.1756523,2.3695593,10.476519,-0.61044496,-0.41331467,-0.41331467
2463118611,1,2.9242718,2.3551948,10.648894,-0.61044496,-0.41331467,-0.41331467
2463118606,1,2.9242718,2.3551948,10.648894,-0.57868,-0.45485345,-0.45485345
2463118616,1,2.9242718,2.3551948,10.648894,-0.49010465,-0.48967275,-0.48967275
2463118621,1,2.5124867,2.3456182,10.754235,-0.49010465,-0.48967275,-0.48967275
2463118625,1,2.5124867,2.3456182,10.754235,-0.3544927,-0.49944657,-0.49944657
2463118630,1,2.0887313,2.3336477,10.624953,-0.3544927,-0.49944657,-0.49944657
2463118635,1,2.0887313,2.3336477,10.624953,-0.18711574,-0.48234236,-0.48234236
2463118640,1,1.7367988,2.407865,10.241898,-0.18711574,-0.48234236,-0.48234236
2463118650,1,1.4279599,2.5586934,9.566762,-0.18711574,-0.48234236,-0.48234236
2463118645,1,1.4279599,2.5586934,9.566762,-0.008132379,-0.44630134,-0.44630134
2463118654,1,1.4279599,2.5586934,9.566762,0.16046628,-0.40292996,-0.40292996
2463118659,1,1.2531909,2.7837386,8.668975,0.16046628,-0.40292996,-0.40292996
2463118664,1,1.2531909,2.7837386,8.668975,0.29791084,-0.3607803,-0.3607803
2463118669,1,1.183762,3.0590599,7.656271,0.29791084,-0.3607803,-0.3607803
2463118674,1,1.183762,3.0590599,7.656271,0.39503834,-0.3290153,-0.3290153
2463118678,1,1.1861562,3.3248048,6.6794786,0.39503834,-0.3290153,-0.3290153
2463118683,1,1.1861562,3.3248048,6.6794786,0.4530705,-0.31496543,-0.31496543
2463118688,1,1.1550328,3.5570323,5.918155,0.4530705,-0.31496543,-0.31496543
2463118698,1,1.111939,3.8347478,5.111344,0.4530705,-0.31496543,-0.31496543
2463118693,1,1.111939,3.8347478,5.111344,0.4750616,-0.3119111,-0.3119111
2463118702,1,1.111939,3.8347478,5.111344,0.45368135,-0.31985235,-0.31985235
2463118707,1,1.0233574,4.1220393,4.460149,0.45368135,-0.31985235,-0.31985235
2463118712,1,1.0233574,4.1220393,4.460149,0.38954055,-0.3436761,-0.3436761
2463118717,1,0.9036523,4.4045434,4.1489162,0.38954055,-0.3436761,-0.3436761
2463118722,1,0.9036523,4.4045434,4.1489162,0.30096516,-0.384604,-0.384604
2463118726,1,0.7935239,4.6511354,4.165675,0.30096516,-0.384604,-0.384604
2463118731,1,0.7935239,4.6511354,4.165675,0.20933546,-0.43958184,-0.43958184
2463118736,1,0.70015395,4.761264,4.457755,0.20933546,-0.43958184,-0.43958184
2463118741,1,0.70015395,4.761264,4.457755,0.12931217,-0.5012792,-0.5012792
2463118746,1,0.61396646,4.7349286,5.037127,0.12931217,-0.5012792,-0.5012792
2463118755,1,0.51820254,4.6367707,5.666775,0.12931217,-0.5012792,-0.5012792
2463118751,1,0.51820254,4.6367707,5.666775,0.077388674,-0.5544244,-0.5544244
2463118760,1,0.51820254,4.6367707,5.666775,0.055397555,-0.5861893,-0.5861893
2463118765,1,0.3769507,4.538613,6.200659,0.055397555,-0.5861893,-0.5861893
2463118770,1,0.3769507,4.538613,6.200659,0.05356496,-0.5959632,-0.5959632
2463118775,1,0.24527529,4.483548,6.586109,0.05356496,-0.5959632,-0.5959632
2463118779,1,0.24527529,4.483548,6.586109,0.06211706,-0.59290886,-0.59290886
2463118784,1,0.09923527,4.423696,6.9141006,0.06211706,-0.59290886,-0.59290886
2463118789,1,0.09923527,4.423696,6.9141006,0.084719054,-0.5819133,-0.5819133
