time,activity,acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
2463163075,0,-0.8392514,2.743039,10.026429,0,0,0
2463163085,0,-0.8392514,2.743039,10.026429,0,0,0
2463163095,0,-0.8392514,2.743039,10.026429,0,0,0
2463163105,0,-0.8392514,2.743039,10.026429,0,0,0
2463163115,0,-0.8392514,2.743039,10.026429,0,0,0
2463163125,0,-0.8392514,2.743039,10.026429,0,0,0
2463163134,0,-0.6309649,2.747827,10.6872,0,0,0
2463163144,0,-0.8512219,2.4677176,10.641712,0,0,0
2463163154,0,-1.0188088,2.266613,10.373573,0,0,0
2463163164,0,-1.1337256,2.2714014,10.158104,0,0,0
2463163174,0,-1.2294896,2.403077,9.961788,0,0,0
2463163183,0,-1.3755296,2.606575,9.485362,0,0,0
2463163193,0,-1.3276477,3.1165183,8.896414,0,0,0
2463163198,0,-1.3276477,3.1165183,8.896414,0.84402394,-0.011976531,-0.011976531
2463163203,0,-1.1840017,3.5450618,8.250007,0.84402394,-0.011976531,-0.011976531
2463163213,0,-0.9230449,3.6982844,7.728094,0.84402394,-0.011976531,-0.011976531
2463163208,0,-0.9230449,3.6982844,7.728094,0.8757889,-0.019917771,-0.019917771
2463163218,0,-0.9230449,3.6982844,7.728094,0.8275306,-0.06695436,-0.06695436
2463163223,0,-0.72194064,3.693496,7.799917,0.8275306,-0.06695436,-0.06695436
2463163233,0,-0.6573,3.743772,8.250007,0.8275306,-0.06695436,-0.06695436
2463163228,0,-0.6573,3.743772,8.250007,0.7420096,-0.1268191,-0.1268191
2463163237,0,-0.6573,3.743772,8.250007,0.6577102,-0.1872947,-0.1872947
2463163242,0,-0.9158627,3.7581365,8.64264,0.6577102,-0.1872947,-0.1872947
2463163252,0,-1.263007,3.6815255,8.743192,0.6577102,-0.1872947,-0.1872947
2463163247,0,-1.263007,3.6815255,8.743192,0.5850173,-0.22700092,-0.22700092
2463163257,0,-1.263007,3.6815255,8.743192,0.5282069,-0.23372042,-0.23372042
2463163262,0,-1.5574812,3.5211208,8.724039,0.5282069,-0.23372042,-0.23372042
2463163267,0,-1.5574812,3.5211208,8.724039,0.48788977,-0.21295103,-0.21295103
2463163272,0,-1.7298563,3.3655045,8.771921,0.48788977,-0.21295103,-0.21295103
2463163277,0,-1.7298563,3.3655045,8.771921,0.46773124,-0.17813174,-0.17813174
2463163282,0,-1.7849206,3.236223,8.815015,0.46773124,-0.17813174,-0.17813174
2463163291,0,-1.820832,3.209888,8.826985,0.46773124,-0.17813174,-0.17813174
2463163287,0,-1.820832,3.209888,8.826985,0.47322902,-0.13414948,-0.13414948
2463163296,0,-1.820832,3.209888,8.826985,0.49766362,-0.08466943,-0.08466943
2463163301,0,-1.8495611,3.260164,8.688127,0.49766362,-0.08466943,-0.08466943
2463163306,0,-1.8495611,3.260164,8.688127,0.52698517,-0.02846988,-0.02846988
2463163311,0,-1.8663199,3.3583221,8.285919,0.52698517,-0.02846988,-0.02846988
2463163316,0,-1.8663199,3.3583221,8.285919,0.53798074,0.028951406,0.028951406
2463163321,0,-1.8112556,3.4947858,7.8238583,0.53798074,0.028951406,0.028951406
2463163326,0,-1.8112556,3.4947858,7.8238583,0.50988096,0.07965317,0.07965317
